Sno,Question,Option A,Option B,Option C,Option D,Correct Option
1,What is the square root of 144?,10,11,12,13,C
2,What planet is known as the Red Planet?,Earth,Mars,Venus,Jupiter,B
3,Who wrote 'Hamlet'?,William Wordsworth,William Shakespeare,Charles Dickens,Mark Twain,B
4,What is the chemical symbol for water?,HO,H2O,O2H,HHO,B
5,What is the capital of France?,Paris,Berlin,Madrid,Rome,A
6,What is 25% of 200?,25,50,75,100,B
7,Who discovered gravity?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,A
8,How many continents are there on Earth?,5,6,7,8,C
9,What is the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Chloroplast,C
10,Who was the first president of the United States?,Abraham Lincoln,George Washington,John Adams,Thomas Jefferson,B
11,What is the sum of the angles in a triangle?,180 degrees,360 degrees,90 degrees,270 degrees,A
12,What gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,B
13,Which planet is the largest in our solar system?,Earth,Saturn,Jupiter,Neptune,C
14,Who painted the Mona Lisa?,Vincent Van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,C
15,What is the smallest prime number?,1,2,3,5,B
16,What is the main gas found in the air we breathe?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,C
17,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,A
18,Who formulated the theory of relativity?,Isaac Newton,Albert Einstein,Stephen Hawking,Marie Curie,B
19,How many states are there in the United States?,48,49,50,51,C
20,What is the largest organ in the human body?,Heart,Liver,Skin,Lung,C
21,What is the value of Pi to two decimal places?,3.12,3.14,3.15,3.16,B
22,Which element has the chemical symbol 'O'?,Oxygen,Gold,Silver,Iron,A
23,What is the currency of the United Kingdom?,Euro,Dollar,Pound,Yen,C
24,What is the boiling point of water in Celsius?,90,95,100,105,C
25,Who wrote 'Pride and Prejudice'?,Emily Bronte,Jane Austen,Charles Dickens,Mark Twain,B
26,What is the capital city of Australia?,Sydney,Melbourne,Canberra,Brisbane,C
27,What is the smallest bone in the human body?,Femur,Stapes,Tibia,Humerus,B
28,What is 3 multiplied by 7?,20,21,22,23,B
29,What is the largest mammal?,Elephant,Blue Whale,Giraffe,Hippopotamus,B
30,What is the chemical formula for table salt?,NaCl,KCl,HCl,CaCl2,A
31,Which continent is known as the 'Dark Continent'?,Asia,Africa,Europe,Australia,B
32,Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Guglielmo Marconi,A
33,What is the largest planet in our solar system?,Mars,Saturn,Jupiter,Uranus,C
34,What is the capital of Italy?,Paris,Rome,Madrid,Athens,B
35,What is the first element on the periodic table?,Helium,Hydrogen,Lithium,Beryllium,B
36,Who developed the theory of evolution?,Gregor Mendel,Charles Darwin,Louis Pasteur,Alexander Fleming,B
37,What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,C
38,What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D
39,What is the capital of Canada?,Toronto,Ottawa,Vancouver,Montreal,B
40,How many teeth does an adult human have?,28,30,32,34,C
41,What is the atomic number of carbon?,4,6,8,12,B
42,What is the freezing point of water in Celsius?,0,32,-1,-10,A
43,Who wrote the play 'Romeo and Juliet'?,William Wordsworth,William Shakespeare,Charles Dickens,Mark Twain,B
44,What is the largest internal organ in the human body?,Heart,Liver,Skin,Lung,B
45,What is the longest river in the world?,Amazon River,Nile River,Mississippi River,Yangtze River,B
46,What is the chemical symbol for gold?,Au,Ag,Pb,Fe,A
47,What is the capital of Germany?,Berlin,Munich,Frankfurt,Hamburg,A
48,What is 9 divided by 3?,2,3,4,5,B
49,What is the largest planet in our solar system?,Mars,Saturn,Jupiter,Neptune,C
50,Who painted the ceiling of the Sistine Chapel?,Leonardo da Vinci,Michelangelo,Raphael,Donatello,B
51,What is the smallest unit of matter?,Molecule,Atom,Electron,Proton,B
52,What is the capital of China?,Shanghai,Beijing,Hong Kong,Taipei,B
53,What is the speed of light in vacuum?,3 x 10^6 m/s,3 x 10^7 m/s,3 x 10^8 m/s,3 x 10^9 m/s,C
54,Who wrote 'To Kill a Mockingbird'?,Harper Lee,Mark Twain,Ernest Hemingway,F. Scott Fitzgerald,A
55,What is the capital of Spain?,Madrid,Barcelona,Valencia,Seville,A
56,What is the primary component of the sun?,Helium,Carbon,Oxygen,Hydrogen,D
57,Who is known as the 'Father of Computers'?,Alan Turing,Charles Babbage,Bill Gates,Steve Jobs,B
58,What is the boiling point of water in Fahrenheit?,200,212,220,230,B
59,What is the capital of Russia?,St. Petersburg,Moscow,Kiev,Minsk,B
60,What is the chemical formula for carbon dioxide?,CO,CO2,C2O,C2O2,B
61,What is the smallest planet in our solar system?,Earth,Mars,Mercury,Venus,C
